runtime_key	class	parent_chain	offset	storage_width	value_kind	serialization	semantic_name	semantic_status	default_value	default_writer_va	setter_va	consumer_va	evidence_span_start	evidence_span_end	evidence_span_sha256	empty_codec_span	empty_codec_sha256	evidence_support_spans	evidence_key	source	blocker	required_next_evidence	image_sha256
35d113fc554c11b54d5949095e75f69d46773973f74b207e4cc23f47ad56146c	FightAttr	PcRefObject>Attribute>FightAttr	0x14	4	ptr32	NONE_EMPTY_CODEC	actor_attr_family_attachment_ptr	PROVEN_ROLE_ONLY	UNASSERTED	N/A	0x009F1990	MULTIPLE_CLIENT_COMPUTED_FIGHT_GETTERS	0x009F1990	0x009F19A1	0375cdad94afbf0757406ee3b59a90848ec3ae3ddeb5eabd189943fafe44f91c	0x00515EC0..0x00515EC3	1d10894625976bca9d8906f3ecf1e766b94e9219ec3bf1c30e02feea5e18e45a		7f7690d1e220cfb7feef40cf081cef08514d6c2162c9adc1109896ec2ddfbbd5	IMAGE	the attachment is ActorAttr/NPCAttr-family and the concrete runtime subtype is dynamic	runtime object identity kept as DUMP source if the concrete +0x14 subtype is needed	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
816fe46384b3866a2b186e470446f349ef149ba58e87b95784a9b7254408e569	FightAttr	PcRefObject>Attribute>FightAttr	0x18	4	ptr32	NONE_EMPTY_CODEC	cbuff_attr_attachment_ptr	PROVEN_EXACT	UNASSERTED	N/A	0x009F1990	MULTIPLE_CLIENT_COMPUTED_FIGHT_GETTERS	0x009F1990	0x009F19A1	0375cdad94afbf0757406ee3b59a90848ec3ae3ddeb5eabd189943fafe44f91c	0x00515EC0..0x00515EC3	1d10894625976bca9d8906f3ecf1e766b94e9219ec3bf1c30e02feea5e18e45a		35aa88e008ae71b20f00b907ee3caa08b07a96b886c2ca42f2a430f3c986d30d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
51c1b50b548e05232f0ca270742c2e5f93e62d5ba5ecd94564ced1271b48378e	PetAttr	PcRefObject>PetAttr	0x9C	1	u8	NONE_OUTSIDE_EXACT_PETATTR_CODEC	pet_mutation_marker_u8	PROVEN_ROLE_ONLY	0	0x006F5CED	0x006F51C4;0x006F6026;0x006FBAAB;0x006FBABC;0x006FBBBB	NO_DIRECT_READER_PROVED_IN_SCOPED_PET_SUBSYSTEM	0x006FBA50	0x006FBB66	3bf6599a9f9469e74f0a7a135b8feebc3f504103b80013ee45b8c992a6cf6bc8	N/A	N/A	PetAttr_ctor=0x006F5C40..0x006F5D07@100059c5c6d7aef5cd957544ca242ab0e7795d0477d8861baa2d4d4247606c1c;PetAttr_insert_mark=0x006F5120..0x006F5228@6846c4494a2989e8fb7e141733e2ddbeb09725e083792f7103ec8232a182bd78;PetAttr_reset=0x006F5F90..0x006F60AC@199cab53a03e65ed273f73d992263a751861f9f1f8ba7c08aef45f029e344abc;PetAttr_restore_amity=0x006FBB70..0x006FBC5A@836d7e1762ee90bb4deab1505be1f80eff0e90db02dada167129a40c15c60d29;PetAttr_codec=0x006F4CA0..0x006F508D@cb1b30d4d7d1b97c0247903c9e99e0ef497820514c43390d17065a88a9dc2aac	d24e7fcea13a82b756d1d04ebc808c325f4b60e68932073c87ca56deeec1fa0c	IMAGE	mutation paths set/reset the byte, but no direct reader proves a unique dirty/sync/new noun	a typed reader or varied DUMP/CAPTURE evidence retained as its own source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
60a6a2b57834f830d248bdbd1950f0040cdddf9453eea276b5b0afac59e6effd	ActivityModule_Client	PcRefObject>Module>ClientModule>ActivityModule_Client	0x18	4	ptr32	NONE_MODULE_RUNTIME_STATE	daily_activity_state_attachment_ptr	PROVEN_EXACT	0	0x0069EDF5	0x0069E070;0x0069E07F	0x0069DDFA;0x0069DDFD	0x0069E030	0x0069E08C	5a30221064a966124ea652f8e7f87667fb137c14f084a9f7b104e943fde33a38	N/A	N/A	Activity_ctor=0x0069EDB0..0x0069EE30@7e30e336cb3db2349881fc33e2ba6cb36279f2e3b0705247c603c009af2f7e62;Activity_consumer=0x0069DDF0..0x0069DE0A@1dcd5b1b11b3552a1d969bfeb1cf4d8a946333f9babcb2c1493df636cc775884;Activity_vtable=0x00F3C7E8..0x00F3C834@75e461c531d3a5122b7f1b26ed2964ad0b7cfe1e9ad3ae32ff1d69db2380e5d8;Activity_registrar=0x0069DDC0..0x0069DDD0@b280954c2e4f8df25794062202883b05c2e5d7c80c78a8bd5a121217d157e5ff;DailyActivityState_descriptor=0x0101AFE4..0x0101B005@d04c8386afdeb76b4b707f25286c93075be4d00b59dda951fdd8298d2e47874c;DailyActivityState_registration=0x00BFD940..0x00BFD977@b4004e25bbf292f414de272479320ecce49b23146249e186584d56426e9c9525;DailyActivityState_getter=0x0069CD70..0x0069CD76@72f985913e5b50c5c30bdf559110f4c1ad5f697cf2e8cdb214f73d86e9fb4b43	09c110ffe0876c1c3ac9f660c6a261abb241cb46d6d0249718671a7349d90f58	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b243e79f0a21a0de04f45c2443dd4c451c9f452f0102cd6f7d304fb83c288a6b	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x18	4	ptr32	NONE_MODULE_RUNTIME_STATE	cnet_actor_attachment_ptr	PROVEN_EXACT	0	0x006FB78D	0x006FA15F	0x006FA19A;0x006FA1DE;0x006FA205	0x006FA130	0x006FA233	706583e867bddac84e481822c2f6093dc7b00946e7917e38ae7089b39a51f2fd	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_vtable=0x00F420A8..0x00F420F4@e9d8186b01283d4036600338095b3630473e123c34927817589afcb0172b2db3;Pets_registrar=0x006F9C80..0x006F9CFD@46378da0edc21d91a3461170fb16e1e40c7f3ca8770ab30e202b7ac846481b37;CNetActor_descriptor=0x0101ABA0..0x0101ABB8@061d8aff82f10b1b7acc139632798b6b89c833ab406ac1e0b27cf7b4cedb2698;CNetActor_registration=0x00BCE450..0x00BCE486@fe021388350f20c5e371eb1334968c378f8953ebebc65bd552cb397c98119ae1;CNetActor_getter=0x00457580..0x00457586@9418409143aefe8d84eae9e34910eeb721080345d90b8cc5b42f10b1ab47a961	7367fddd0e47326513a981d310e8d19c78c1ef417e0693b788b3517eb83b79ba	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
abf9d504a782c6ea1de708a272f1a72eded14c2adc2174c6e4a73181b948a97f	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x1C	4	ptr32	NONE_MODULE_RUNTIME_STATE	pets_data_attachment_ptr	PROVEN_EXACT	0	0x006FB790	0x006FA1D7	0x006FD024;0x006FBA91;0x006FBBA9	0x006FA130	0x006FA233	706583e867bddac84e481822c2f6093dc7b00946e7917e38ae7089b39a51f2fd	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_vtable=0x00F420A8..0x00F420F4@e9d8186b01283d4036600338095b3630473e123c34927817589afcb0172b2db3;Pets_registrar=0x006F9C80..0x006F9CFD@46378da0edc21d91a3461170fb16e1e40c7f3ca8770ab30e202b7ac846481b37;PetsData_descriptor=0x0101D684..0x0101D69B@41179bdec05ff1062bf00efa971d9855098dbf3acda9c3156fc2702db4449f14;PetsData_registration=0x00C03F00..0x00C03F37@a35048691daeaa98527a2e9a41cf1fef44dddd4c5cd0d45fa47d355ecfd3c453;PetsData_getter=0x006F3E10..0x006F3E16@9b24a029c7e265cb279105d51b624f5b0924d306f1cd492643cb370250a2756e	6f74f305c550fbdcb04bec1a76c3c67b82e143863f4a90bf6f0bb4393f5feb68	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
eab65d6915bf86e5fa6b1699f8c1483d99981615f2dc472c1507c1dd78c95a7c	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x20	4	ptr32	NONE_MODULE_RUNTIME_STATE	pet_runtime_ref_slot_selected_by_1	PROVEN_ROLE_ONLY	0	0x006FB793	0x006FD0C6;0x006FD0D8	0x006FC383;0x006FC388;0x006FC394	0x006FCFE0	0x006FD2BF	4f7c1bdf6d19fc7ac7f5375806bd868cbe419a659145693334e57cf8c9e5555d	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_destructor=0x006FA0A0..0x006FA119@9dc1e5ece6b04bb8c8685267a654441c98366cb584a237c9422a7f9731abd675;Pets_event_consumer=0x006FC2F0..0x006FC889@e3d6de2e166917a11ead21ba99ef0796bf6716a2fe9051a23041882a1e84e626;Pets_ref_helper=0x00AC5BB0..0x00AC5BDB@6af06e43406b6f19fcba00ae9f2ed2febf032cebedd304912c8fb941e8e807d2	fb962269fcc2cab126154b7a3e1c77d40cdc7784d1d56682d6f6785065f754c6	IMAGE	selector values 1/2 choose the two reference slots, but the complete enum and gameplay slot names are not proved	a named selector producer/consumer or varied DUMP/CAPTURE evidence retained as its own source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
6e964e48e65fa811084ec1fd1b356aede237324c10c641bec9b93a624e3f1718	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x24	4	ptr32	NONE_MODULE_RUNTIME_STATE	pet_runtime_ref_slot_selected_by_2	PROVEN_ROLE_ONLY	0	0x006FB796	0x006FD0D5;0x006FD0D8	0x006FC397;0x006FC3A0;0x006FC3B0	0x006FCFE0	0x006FD2BF	4f7c1bdf6d19fc7ac7f5375806bd868cbe419a659145693334e57cf8c9e5555d	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_destructor=0x006FA0A0..0x006FA119@9dc1e5ece6b04bb8c8685267a654441c98366cb584a237c9422a7f9731abd675;Pets_event_consumer=0x006FC2F0..0x006FC889@e3d6de2e166917a11ead21ba99ef0796bf6716a2fe9051a23041882a1e84e626;Pets_ref_helper=0x00AC5BB0..0x00AC5BDB@6af06e43406b6f19fcba00ae9f2ed2febf032cebedd304912c8fb941e8e807d2	8bbea5d33ea94cdc2a54267efd831d20d5009d2ee0a7774572a078a8ae2dc0b8	IMAGE	selector values 1/2 choose the two reference slots, but the complete enum and gameplay slot names are not proved	a named selector producer/consumer or varied DUMP/CAPTURE evidence retained as its own source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a9dd3abe006fdccfdb621e2df28ddae926c0f1cf74ec77c33442bd4a2b35c3bc	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x28	4	ptr32	NONE_MODULE_RUNTIME_STATE	actor_learned_pets_skill_data_attachment_ptr	PROVEN_EXACT	0	0x006FB799	0x006FA1FA	0x006FA5BF	0x006FA130	0x006FA233	706583e867bddac84e481822c2f6093dc7b00946e7917e38ae7089b39a51f2fd	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_vtable=0x00F420A8..0x00F420F4@e9d8186b01283d4036600338095b3630473e123c34927817589afcb0172b2db3;Pets_registrar=0x006F9C80..0x006F9CFD@46378da0edc21d91a3461170fb16e1e40c7f3ca8770ab30e202b7ac846481b37;Pets_learned_consumer=0x006FA5B0..0x006FA5D1@a932b7b58e15638fce1db707298b01ba8426e11a017eada9a4bf99c94c286e4f;ActorLearnedPetsSkillData_descriptor=0x0101D700..0x0101D728@784042dfbc376f97801efd8b32211b0e962fa51679850550ea32db8b5144cfd0;ActorLearnedPetsSkillData_registration=0x00C04350..0x00C04387@76583b833fec236231fc425b15248286cc3c0dd20689b471ec75c65c1147c121;ActorLearnedPetsSkillData_getter=0x006FD4D0..0x006FD4D6@8b564d2d369893cab8c98b3086f9779c2175b5423a9716af77f6789f51c196be	d3b2d73e8bb9fd956cf48c827bcfff9b0a1102a172d5b4705f3599c828c6f719	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
bb662f17dc27063c9c751c13cdda382fc49adb193e455ac94d46095df834a6a7	PetsModule_Client	PcRefObject>Module>ClientModule>PetsModule_Client	0x2C	4	ptr32	NONE_MODULE_RUNTIME_STATE	pets_merging_data_attachment_ptr	PROVEN_EXACT	0	0x006FB79C	0x006FA221	0x006FBE45;0x006FC647;0x006FC660	0x006FA130	0x006FA233	706583e867bddac84e481822c2f6093dc7b00946e7917e38ae7089b39a51f2fd	N/A	N/A	Pets_ctor=0x006FB750..0x006FB7BC@7988fa0d50080a8b6ff8eab29d4e78b20e192155619bbfb7047ced257491b2f5;Pets_vtable=0x00F420A8..0x00F420F4@e9d8186b01283d4036600338095b3630473e123c34927817589afcb0172b2db3;Pets_registrar=0x006F9C80..0x006F9CFD@46378da0edc21d91a3461170fb16e1e40c7f3ca8770ab30e202b7ac846481b37;Pets_event_consumer=0x006FC2F0..0x006FC889@e3d6de2e166917a11ead21ba99ef0796bf6716a2fe9051a23041882a1e84e626;PetsMergingData_descriptor=0x0101D748..0x0101D766@e5190e04e52f800a24a9db58b6fa374deef683468da28ea821b1a5c2f3f09de9;PetsMergingData_registration=0x00C03FA0..0x00C03FD7@8fcad54d742b0108aee5d623e210f4ec25fdbbe651824df5275fd1bea7fa79c6;PetsMergingData_getter=0x006F8C30..0x006F8C36@9b017e01fbb9ec3d215be4a2542684ef5e0138f3f563021a03c3af9dd7d36126	f06d57bc2aaa795726cd555e0a299bcadaea955c1fc4332fcd39033ce1b1d6f5	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
