graph_key	row_kind	decision_surface	evidence_layer	applies_to_class	input_or_condition	exact_observation	semantic_status	measurement_label	measurement_method	control	negative_scope	span_start_va	span_end_va	file_off_start	file_off_end	span_sha256	support_spans	site_count	site_list	site_digest	prior_reference	prior_artifact_sha256	prior_claim_digest	source	source_file	source_size	source_sha256	nonclaim	blocker	required_next_evidence	claim_sha256	evidence_key
ARIG-IMG-001	GENERAL_EVENT19_REGISTRATION_SUBSET	general_event_kind_0x19_registration	STATIC_NATIVE	QuestModule	direct immediate general-registration shape with kind=0x19	The general channel has one direct kind-0x19 registration site at 0x00615B7A in the QuestModule registration surface.	PROVEN_EXACT	MEASURED	Reuse the pinned QME-IMG-017 140-site direct-registration control, independently filter the identical instruction-shape census for kind 0x19, and verify the exact registration span/call.	general_direct_registrations=140;general_digest=9f352999fc90400dcba1bda7899c4486eeff3f29ed8b57b7a0ba716f27622a01;QME-IMG-017	The uniqueness statement covers direct immediate registration shapes and E8 calls only. Dynamic or register-built registration is excluded.	0x00615B70	0x00615B7F	0x00214F70	0x00214F7F	d119691b5c71207afe26aaa968865b747ba2443ffa76b237bd786644992c8285		1	call=0x00615B7A;kind=0x00000019;object_push=0x56;start=0x00615B70	70db49876ca7df2198a6f856a7f8ec2db9f2dba92bc10158791be6b0eee01db1	PF_QUEST_MARK_EVENT_CENSUS.tsv:QME-IMG-017@8be3f62040f283114adc9cbffad880b30f7400e855ca2b2dce2e3df4b0b74da1	40127e6410c1aa6405efada640c60b72663eb9e35537c8011cdeede47d0a0b35	bfe3ea2d88269f381c60ac3656a7b358e1ee9a4e0310f77fda29d377c5c37a2d	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Kind 0x19 is not assigned a global gameplay name by this registration fact.	Dynamic/register-built registration and the complete subscriber behavior remain outside this census.	PROPOSED: A typed handler/dataflow proof before assigning a broader semantic name.	5d9595dae33f24e2c1c276f127a076fead06b976301d366f5bef113be2a6f655	4b8df775e1864561b44d533f71508ed7aa85d5b2a1bb777d5d6fbd07121ecf0a
ARIG-IMG-002	GENERAL_EVENT19_TYPED_TARGET_PRODUCER_201	general_event_kind_0x19_target_producer_0x201	STATIC_NATIVE	UNKNOWN	audited producer A dispatches general event kind 0x19	Producer A writes event +0x10=0x19, writes +0x14=0x201, copies target identity to +0x20/+0x24, stores the target actor pointer at +0x30, and dispatches through local actor owner +0x130.	PROVEN_EXACT	MEASURED	Pinned producer span plus exact event-field stores and direct general-dispatch call anchors.	ARIG-IMG-001 owns the direct registration subset; this row owns only producer A's typed event layout.	One exact producer body; no other producer or subscriber is excluded.	0x0044F236	0x0044F281	0x0004E636	0x0004E681	6b0e718e439be5a5f6470f2037f4ddb2ba1c42c30e46451499a23c21d131d278		0	N/A	N/A	PF_QUEST_MARK_EVENT_CENSUS.tsv:QME-IMG-017@8be3f62040f283114adc9cbffad880b30f7400e855ca2b2dce2e3df4b0b74da1	40127e6410c1aa6405efada640c60b72663eb9e35537c8011cdeede47d0a0b35	bfe3ea2d88269f381c60ac3656a7b358e1ee9a4e0310f77fda29d377c5c37a2d	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Numeric value 0x201 is not assigned a gameplay name, and the target actor's concrete class is UNKNOWN.	The receiving subscriber's interpretation of +0x14=0x201 is not proved.	PROPOSED: Typed subscriber branch consuming kind 0x19 with +0x14=0x201.	17b83b2add57a156e244df8eb04a6d387e25430d6f5fb58c85497021a8ea0747	8c6bf3e7e532cbaa992a35184ef53b4ebc9f3b5e859596406e8497f6483bf7e4
ARIG-IMG-003	GENERAL_EVENT19_TYPED_TARGET_PRODUCER_205	general_event_kind_0x19_target_producer_0x205	STATIC_NATIVE	UNKNOWN	audited producer B dispatches general event kind 0x19	Producer B writes event +0x10=0x19, writes +0x14=0x205, copies target identity to +0x20/+0x24, stores the target actor pointer at +0x30, and dispatches through local actor owner +0x130.	PROVEN_EXACT	MEASURED	Pinned producer span plus exact event-field stores and direct general-dispatch call anchors.	ARIG-IMG-001 owns the direct registration subset; this row owns only producer B's typed event layout.	One exact producer body; no other producer or subscriber is excluded.	0x0044F741	0x0044F78D	0x0004EB41	0x0004EB8D	4ab3b057c6aed54a0e102ce38dece6df403ff3992546dfd698870f9dd725b62d		0	N/A	N/A	PF_QUEST_MARK_EVENT_CENSUS.tsv:QME-IMG-017@8be3f62040f283114adc9cbffad880b30f7400e855ca2b2dce2e3df4b0b74da1	40127e6410c1aa6405efada640c60b72663eb9e35537c8011cdeede47d0a0b35	bfe3ea2d88269f381c60ac3656a7b358e1ee9a4e0310f77fda29d377c5c37a2d	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Numeric value 0x205 is not assigned a gameplay name, and the target actor's concrete class is UNKNOWN.	The receiving subscriber's interpretation of +0x14=0x205 is not proved.	PROPOSED: Typed subscriber branch consuming kind 0x19 with +0x14=0x205.	6c9bbb468e4e142ded0b7c98570395ea962c62bfd27f2ba2fbf53a69b351bcb7	75c8369929b8d6a8b6ba35c497894bb3dc9224a13c9e4686de668f64b312e695
ARIG-IMG-004	EVENT19_QUERY_RESULT_GATE	CNetNPC_interaction_query_gate	STATIC_NATIVE	CNetNPC	prior CNetNPC relation/NPCAttr gate passes; query event kind=0x12 returns event +0x14 nonzero	After the prior CNetNPC interaction gate, this path constructs a query event, writes +0x10=0x12, dispatches it through the target CNetNPC owner at +0x130, and requires the returned byte at event +0x14 to be nonzero before continuing toward distance handling.	PROVEN_EXACT	MEASURED	Pinned span hash plus exact constructor, immediate store, query-dispatch call, owner-base, and result-byte comparison anchors.	CNETNPC_INTERACTION_ACTION_GATE is cited as the preceding canonical gate and is not copied.	Necessary only on this audited interaction route; not a universal talkability or attackability predicate.	0x006197D2	0x0061980E	0x00218BD2	0x00218C0E	e485e3e075366d2cac57c59b81365d668b71b7b2fd0ccf0eaf4ab4ce6731a5b1		0	N/A	N/A	PF_ATTR_ROLE_DISCRIMINATOR.tsv:CNETNPC_INTERACTION_ACTION_GATE@d9d1012a4b996401b1f14587604449f9081430ad7286b581d9ffcaf516327448	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	bcb17acf39008af97f104d92b1d6a39e421b22cfcadc26a370773960f608da85	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Event kind 0x12 is not assigned a global gameplay name, and a nonzero result does not prove that the original server will send a conversation response.	The exact subscriber that sets event +0x14 and its original policy inputs are not closed here.	PROPOSED: Typed subscriber result producer or a source-separated live trace of this query result for controlled actor roles.	5148f3d3cfad4987fc3d2d000556c84c0fae988d670476047c93be2dc4023037	a55606ff679898ac698adaa08c91740e39a2f7d8ce8887935ec9402df3db8a7c
ARIG-IMG-005	EVENT19_DISTANCE_OR_APPROACH_BRANCH	CNetNPC_near_send_or_approach_attachment	STATIC_NATIVE	CNetNPC	event19 query result passes; real-position distance is within threshold or exceeds threshold	After the query gate, two native position lanes compute distance. Within threshold control reaches the already-canonical ChooseNPC send. Beyond threshold each lane requests a 0x50-byte object, initializes it through 0x00475690, and attaches the result through 0x004843F0.	PROVEN_ROLE_ONLY	MEASURED	Pinned whole decision span and two approach-branch hashes; exact threshold branch, allocation-size, initializer-call, and attachment-call anchors.	The near ChooseNPC identity/send fact is cited from CNETNPC_INTERACTION_CHOOSE_NPC_GENERIC rather than copied as new evidence.	The allocated object's class and completion behavior are outside these spans; no universal interaction-distance policy is claimed.	0x00619814	0x00619AAA	0x00218C14	0x00218EAA	190638e02377cb60f1f80df93fc6f037a391e67eada9d03e85f099b1b510ed36	approach_branch_a=VA:0x006198EE..0x00619940@file:0x00218CEE..0x00218D40@sha256:52dc7ba9657f75b29000a0b57c54a62e183a59aa3106dc88ac09df09b7146217;approach_branch_b=VA:0x00619A11..0x00619A71@file:0x00218E11..0x00218E71@sha256:c1f64e9d0cc1174e81d351863e0fbc119b4f844778f95fb6641f291fe2ea62dc	0	N/A	N/A	PF_ATTR_ROLE_DISCRIMINATOR.tsv:CNETNPC_INTERACTION_CHOOSE_NPC_GENERIC@0bebc744fed9e742d325455efd0288a015b26f374968b0845430c5d2e533f092	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	86173101641aaf549337c32264c7285c1fe469b20d9f4b57842941b510227562	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Allocation size 0x50 is not a class identity. This does not prove that every beyond-threshold path later sends ChooseNPC or that approaching makes a target non-attackable.	The approach object's RTTI/vtable and completion callback are UNKNOWN.	PROPOSED: Resolve the 0x00475690 object type and follow its completion callback to a same-target ChooseNPC or cancellation edge.	f041947b59db5d9e662ebeee292fc0d389ea4b4241299d0b6c993cf914bb84eb	327f1f11b034de738725f83faae631c8261784e0e675a76eff912a63e5f48793
ARIG-IMG-006	NPC_CONVERSATION_INBOUND_QUESTMODULE_FORWARD	NPCConversation_registered_handler_to_QuestModule	WIRE_CODEC	NPCConversation	registered NPCConversation handler receives a message and resolves QuestModule	The registered NPCConversation handler resolves QuestModule through local actor +0x130, validates the resolved object, and forwards the inbound message to 0x0061A950.	PROVEN_EXACT	MEASURED	Registry-row reference plus pinned handler hash and exact module-lookup, validation, and forward-call anchors.	NPCConversation registry mapping is cited; no UI-layer fact is included in this WIRE_CODEC row.	One registered inbound handler body only.	0x00623090	0x006230E2	0x00222490	0x002224E2	d9f7fda8c6c686daa677259d5fd0d653c0500ec0b14278840d99919e170a45a7		0	N/A	N/A	PF_PROTOCOL_REGISTRY.tsv:NPCConversation	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	74706d2c4819c2e0fd5ac92be9773f1bdf5fb49018392279c3b81d78c186894d	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This does not prove that every ChooseNPC yields NPCConversation or what original-server condition emits this response.	ChooseNPC-to-NPCConversation original response policy is absent from IMAGE.	PROPOSED: Source-separated original trace linking one ChooseNPC target to an NPCConversation response.	daccf2ee0c9c5a8d00ebfd701db16cd55ece860cec3049b4d9f94325d08efa35	5d8cc6e56de7cb263f468f08d620c72cfe0222c67a6f3222bd825b0f130937a0
ARIG-IMG-007	NPC_CONVERSATION_QUEST_UI	NPCConversation_dispatch_to_QuestModule_UI	UI_NATIVE	QuestModule	dispatcher cast through getter 0x006216F0 succeeds	The dispatcher copies message +0x18/+0x1C to QuestModule +0x80/+0x84, chooses Quest_NPC_Conversation_New or Quest_NPC_Conversation, and calls UI vslot +0x210 with InitQuestList.	PROVEN_EXACT	MEASURED	Pinned dispatcher hash, exact cast/copy/model-pointer/vslot anchors, and three UTF-16 literal hashes.	ARIG-IMG-006 owns the registered inbound forwarding edge; this row begins at the UI dispatcher.	One quest-conversation UI dispatcher path; not a census of service pages.	0x0061A99D	0x0061AA83	0x00219D9D	0x00219E83	78cf02536650b931ea70ce5b6053b5e784b901acedada5a94e52f82a49d19858	quest_ui_model_new=VA:0x00F25580..0x00F255B6@file:0x00B23980..0x00B239B6@sha256:dec8c04a69476255f32e6c649b9139aa0eda07d4de805b3417419c1c70e419eb;quest_ui_model_old=VA:0x00F25600..0x00F2562E@file:0x00B23A00..0x00B23A2E@sha256:989e83416135edaa0657d9a5b8870e72b874e7690cf312cb83fc83cc6ecead5b;init_quest_list_literal=VA:0x00F336B4..0x00F336D0@file:0x00B31AB4..0x00B31AD0@sha256:5420c9eba89250560ecf78e581c614d8d2b06f0cafe7ef5608a0d46d2c92f72d	0	N/A	N/A	PF_PROTOCOL_REGISTRY.tsv:NPCConversation	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	74706d2c4819c2e0fd5ac92be9773f1bdf5fb49018392279c3b81d78c186894d	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The UI composition does not prove that every NPCConversation uses the same model or reveal original service-page policy.	The message fields' complete server-side content policy remains absent from IMAGE.	PROPOSED: Source-separated original response samples joined by message identity, without merging evidence layers.	e9646959e836894c42a345e459639dc93ddfe8bb570f25712e5ac6722add074e	162dd40eb2907ee1d67b39b23cae456dd7e7655c7f5e1c1829171f4c893503fd
ARIG-IMG-008	CHOOSE_NPC_REGISTERED_ROUTINE_BOUNDARY	ChooseNPC_registered_handler_boundary	WIRE_CODEC	ChooseNPC	PF_PROTOCOL_REGISTRY maps ChooseNPC handler slot to 0x00710440	The registered ChooseNPC routine at 0x00710440 consists only of mov al,1 followed by ret 4. It contains no UI or service side effect; the proved quest UI route is a separate inbound NPCConversation path.	PROVEN_EXACT	MEASURED	Pin the exact ChooseNPC registry row, hash the five-byte routine, and verify the complete routine byte sequence.	ChooseNPC registry row is referenced instead of republished as a new registry claim.	Only this registered five-byte routine body; other send orchestration and server response handlers are outside the negative.	0x00710440	0x00710445	0x0030F840	0x0030F845	f4c6d7ae520f88aecb3ea65952e885437fa4a6ce4b5c3439a161d1c5d8e42863		0	N/A	N/A	PF_PROTOCOL_REGISTRY.tsv:ChooseNPC	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	3fd7a7fe66849bf0318e759ac3c81496cfb50be0053f3aa211fbefe96037ed31	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	A constant-true registered routine does not mean ChooseNPC is accepted by the original server and does not classify the target as NPC, monster, or dummy.	Original response policy is not encoded in this routine.	PROPOSED: Source-separated original wire/runtime evidence for the response family produced after ChooseNPC.	24ee33e8b2a7adb4e053bda9b38c5451ad4a5db183586eb590bf9084e2513812	7bd3f8d6e14d9bf2b5a9dd4684415d189ff011d00070c04d0e5bdba5d779b211
ARIG-IMG-009	RELATION_CONSTANT_FALSE_RESULT_SURFACE	relation_predicate_final_result_producer	STATIC_NATIVE	UNKNOWN	control reaches cleanup surface 0x0043C48F	This final result-producer surface cleans up its temporary object, executes xor al,al, and joins the common function return with result 0.	PROVEN_EXACT	MEASURED	Pinned branch-surface hash plus exact cleanup, xor-al, and common-return jump anchors inside the full relation predicate.	MCMJ-IMG-004 already establishes that earlier overrides exist before the fallback; this row adds only the final result surface.	No upstream condition is semantically named by this row.	0x0043C48F	0x0043C4AA	0x0003B88F	0x0003B8AA	d1ef09f32a40306a40adc19ca057c91c751d3a336668f7ee288fb7d80c088ad5	relation_predicate=VA:0x0043C380..0x0043C63C@file:0x0003B780..0x0003BA3C@sha256:1d99f8557252742914c4f7358853aac06f0b54603f78a4b4d073aaea2afcbd89	0	N/A	N/A	PF_MONSTER_COLOR_MECHANISM_JOIN.tsv:MCMJ-IMG-004@6c5d1647a4ab5d48f53802b77739ac1ab7743523bf3e891b2892afcdeaaeb86f	dfaf5f31380c3ce6a0cfffd6b8778e1a28154b6438f5f404067b402c3d324190	4dbc857ea37aed46f9afb44cb3e718c496d0635f4ee95f06491c3c744e9764af	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Result 0 is not globally named hostile, monster, or attackable. Two prior target-selection callers consume false, but that is not a universal law.	The exact upstream branch predicates and per-caller meaning must be kept contextual.	PROPOSED: Use decoder-validated per-callsite context; do not collapse all callers into one role label.	f9a6ec67e4939fb10b3030d9fe2cf9f6d387f3d39667dc0f23411b7af6873082	d1f4e8e47542a0199bbc1d8f942e8db1f38a0473e328f275d7d0929c8087560c
ARIG-IMG-010	RELATION_COMPARATOR_RESULT_SURFACE	relation_predicate_final_result_producer	STATIC_NATIVE	UNKNOWN	all earlier relation overrides fall through to the +0x68 comparator path	This indexed final surface calls the prior-proved +0x68 comparator, preserves its AL result across cleanup, restores AL, and joins the common return. Comparator semantics remain owned by MCMJ-IMG-003/004.	PROVEN_EXACT	MEASURED	Pinned final-surface hash and call/preserve/restore anchors; prior comparator/fallback claims are referenced and not re-owned.	MCMJ-IMG-003 and MCMJ-IMG-004 own comparator boolean and argument binding.	This is one fallback result surface, not the whole relation predicate or an unconditional faction rule.	0x0043C5C9	0x0043C5FF	0x0003B9C9	0x0003B9FF	916a45082cc44a28219206b05729cb14f80575f054a56ca7acf1cb14a159f3a1	relation_predicate=VA:0x0043C380..0x0043C63C@file:0x0003B780..0x0003BA3C@sha256:1d99f8557252742914c4f7358853aac06f0b54603f78a4b4d073aaea2afcbd89	0	N/A	N/A	PF_MONSTER_COLOR_MECHANISM_JOIN.tsv:MCMJ-IMG-003@702d95f394c62daf7af0a8bb24e0953c7cbe9eff486aa6fb77c9b573820c95d0;PF_MONSTER_COLOR_MECHANISM_JOIN.tsv:MCMJ-IMG-004@6c5d1647a4ab5d48f53802b77739ac1ab7743523bf3e891b2892afcdeaaeb86f	dfaf5f31380c3ce6a0cfffd6b8778e1a28154b6438f5f404067b402c3d324190;dfaf5f31380c3ce6a0cfffd6b8778e1a28154b6438f5f404067b402c3d324190	e27a77ad6494683cb71c4016baf94092cb5a8b0954d901cc141bc594c543fe4c;4dbc857ea37aed46f9afb44cb3e718c496d0635f4ee95f06491c3c744e9764af	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The row does not rename comparator true/false as NPC/monster and does not independently restate FACTION semantics.	Earlier exits can bypass this comparator, and live +0x68 inputs are runtime facts.	PROPOSED: Per-callsite branch tracing or source-separated runtime evidence proving the taken surface and both +0x68 values.	da16774402c866cf8ab7735b1ba2d2e39160b8c20c606eddf96f28560a47eb51	b8d45ee51ee8e941bdae8e1f2698ba2dc16c98c8d3b92a1a11add7cb934eb135
